
CommandType     Name                                               Version    Source
Alias           New-AzServiceBusNamespaceV2                        3.0.0      Az.ServiceBus
Alias           New-AzStorageMoverSmbFileShareEndpoint             1.3.0      Az.StorageMover
Alias           New-AzSubscriptionDeployment                       6.16.0     Az.Resources
Alias           New-AzSynapseDataFlow                              3.0.5      Az.Synapse
Alias           New-AzSynapseDataset                               3.0.5      Az.Synapse
Alias           New-AzSynapseLinkConnection                        3.0.5      Az.Synapse
Alias           New-AzSynapseLinkedService                         3.0.5      Az.Synapse
Alias           New-AzSynapseNotebook                              3.0.5      Az.Synapse
Alias           New-AzSynapsePipeline                              3.0.5      Az.Synapse
Alias           New-AzSynapseSparkJobDefinition                    3.0.5      Az.Synapse
Alias           New-AzSynapseSqlScript                             3.0.5      Az.Synapse
Alias           New-AzSynapseTrigger                               3.0.5      Az.Synapse
Alias           Reactivate-AzBatchTask                             3.5.0      Az.Batch
Alias           Remove-AdlAnalyticsAccount                         1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlAnalyticsComputePolicy                   1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlAnalyticsDataSource                      1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlAnalyticsFirewallRule                    1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlCatalogCredential                        1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlCatalogItemAclEntry                      1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlCatalogSecret                            1.0.3      Az.DataLakeAnalytics
Alias           Remove-AdlStore                                    1.3.0      Az.DataLakeStore
Alias           Remove-AdlStoreFirewallRule                        1.3.0      Az.DataLakeStore
Alias           Remove-AdlStoreItem                                1.3.0      Az.DataLakeStore
Alias           Remove-AdlStoreItemAcl                             1.3.0      Az.DataLakeStore
Alias           Remove-AdlStoreItemAclEntry                        1.3.0      Az.DataLakeStore
Alias           Remove-AdlStoreTrustedIdProvider                   1.3.0      Az.DataLakeStore
Alias           Remove-AdlStoreVirtualNetworkRule                  1.3.0      Az.DataLakeStore
Alias           Remove-ASRFabric                                   6.7.1      Az.RecoveryServices
Alias           Remove-ASRNetworkMapping                           6.7.1      Az.RecoveryServices
